Gospel	ID	Verse number according to Christodouloupoulos and Steedman (2015)	Marker GRC	Marker LA	Context GRC	Context LA	Implicit GRC	Implicit LA	Utterance GRC	Utterance LA	Polarity GRC	Polarity LA	SoA	Dinamicity	Control	Ambiguous modal reading	Modal type	Notional domain	Subtype / degree	Inevitability / prospective	Function	Synoptic
 luke	lk09_41	b.LUK.9.40	δύναμαι	possum	καὶ ἐδεήθην τῶν μαθητῶν σου ἵνα ἐκβάλωσιν αὐτό , καὶ οὐκ ἠδυνήθησαν { ἐκβαλεῖν αὐτό } .	et rogavi discipulos tuos ut eicerent illum et non potuerunt { eicere }	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	true	dynamic	possibility	participant-inherent			sgamma
 luke	lk06_42	b.LUK.6.42	δύναμαι	possum	πῶς δύνασαι λέγειν τῷ ἀδελφῷ σου · ἀδελφέ, ἄφες ἐκβάλω τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ σου, αὐτὸς τὴν ἐν τῷ ὀφθαλμῷ σου δοκὸν οὐ βλέπων; ὑποκριτά, ἔκβαλε πρῶτον τὴν δοκὸν ἐκ τοῦ ὀφθαλμοῦ σου, καὶ τότε διαβλέψεις τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου ἐκβαλεῖν.	et quomodo potes dicere fratri tuo frater sine eiciam festucam de oculo tuo ipse in oculo tuo trabem non videns hypocrita eice primum trabem de oculo tuo et tunc perspicies ut educas festucam de oculo fratris tui	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	true	deontic	acceptability	unacceptable		rhetoric	
 luke	lk06_48	b.LUK.6.48	ἰσχύω	possum	ὅμοιός ἐστιν ἀνθρώπῳ οἰκοδομοῦντι οἰκίαν ὃς ἔσκαψεν καὶ ἐβάθυνεν καὶ ἔθηκεν θεμέλιον ἐπὶ τὴν πέτραν· πλημμύρης δὲ γενομένης προσέρηξεν ὁ ποταμὸς τῇ οἰκίᾳ ἐκείνῃ, καὶ οὐκ ἴσχυσεν σαλεῦσαι αὐτὴν διὰ τὸ καλῶς οἰκοδομῆσθαι αὐτήν.	similis est homini aedificanti domum qui fodit in altum et posuit fundamenta supra petram inundatione autem facta inlisum est flumen domui illi et non potuit eam movere fundata enim erat supra petram	false	false	non-interrogative	non-interrogative	negative	negative	true	true	false	true	dynamic	possibility	situational			
 luke	lk06_48	b.LUK.6.48	ἰσχύω	possum	ὅμοιός ἐστιν ἀνθρώπῳ οἰκοδομοῦντι οἰκίαν ὃς ἔσκαψεν καὶ ἐβάθυνεν καὶ ἔθηκεν θεμέλιον ἐπὶ τὴν πέτραν· πλημμύρης δὲ γενομένης προσέρηξεν ὁ ποταμὸς τῇ οἰκίᾳ ἐκείνῃ, καὶ οὐκ ἴσχυσεν σαλεῦσαι αὐτὴν διὰ τὸ καλῶς οἰκοδομῆσθαι αὐτήν.	similis est homini aedificanti domum qui fodit in altum et posuit fundamenta supra petram inundatione autem facta inlisum est flumen domui illi et non potuit eam movere fundata enim erat supra petram	false	false	non-interrogative	non-interrogative	negative	negative	true	true	false	true	dynamic	possibility	participant-imposed			
 luke	lk07_19	b.LUK.7.19	not preselected	turus	ἔπεμψεν πρὸς τὸν κύριον λέγων· σὺ εἶ ὁ ἐρχόμενος ἢ ἄλλον >προσδοκῶμεν;	et convocavit duos de discipulis suis Iohannes et misit ad Dominum dicens tu es qui ven turus es an alium expectamus	false	false		interrogative		affirmative	true	true	true	false	dynamic	necessity	situational	inevitability		
 luke	lk07_20	b.LUK.7.20	not preselected	turus	παραγενόμενοι δὲ πρὸς αὐτὸν οἱ ἄνδρες εἶπαν· Ἰωάννης ὁ βαπτιστὴς ἀπέστειλεν ἡμᾶς πρὸς σὲ λέγων· σὺ εἶ ὁ ἐρχόμενος ἢ ἄλλον προσδοκῶμεν;	cum autem venissent ad eum viri dixerunt Iohannes Baptista misit nos ad te dicens tu es qui ven turus es an alium expectamus	false	false		interrogative		affirmative	true	true	true	false	dynamic	necessity	situational	inevitability		sz
 luke	lk07_40	b.LUK.7.40	ἔχω	habeo + inf.	Καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν πρὸς αὐτόν· Σίμων, ἔχω σοί τι εἰπεῖν . ὁ δέ· διδάσκαλε, εἰπέ, φησίν.	et respondens Iesus dixit ad illum Simon habeo tibi aliquid dicere at ille ait magister dic	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	dynamic	necessity	participant-imposed			
 luke	lk08_19	b.LUK.8.19	δύναμαι	possum	Παρεγένετο δὲ πρὸς αὐτὸν ἡ μήτηρ καὶ οἱ ἀδελφοὶ αὐτοῦ καὶ οὐκ ἠδύναντο συντυχεῖν αὐτῷ διὰ τὸν ὄχλον.	venerunt autem ad illum mater et fratres eius et non poterant adire ad eum prae turba	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	dynamic	possibility	participant-imposed			
 luke	lk08_20	b.LUK.8.20	θέλω	volo	ἀπηγγέλη δὲ αὐτῷ· ἡ μήτηρ σου καὶ οἱ ἀδελφοί σου ἑστήκασιν ἔξω ἰδεῖν θέλοντές σε .	et nuntiatum est illi mater tua et fratres tui stant foris volentes te videre	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	deontic	volition				
 luke	lk08_43	b.LUK.8.43	ἰσχύω	possum	Καὶ γυνὴ οὖσα ἐν ῥύσει αἵματος ἀπὸ ἐτῶν δώδεκα, ἥτις ἰατροῖς προσαναλώσασα ὅλον τὸν βίον οὐκ ἴσχυσεν ἀπ’ οὐδενὸς θεραπευθῆναι ,	et mulier quaedam erat in fluxu sanguinis ab annis duodecim quae in medicos erogaverat omnem substantiam suam nec ab ullo potuit curari	false	false	non-interrogative	non-interrogative	negative	negative	true	true	false	false	dynamic	possibility	participant-imposed			
